en,mni-Mtei
hands,ꯈꯨꯠꯅꯥ ꯁꯥꯕꯥ .
146,꯱꯴꯶ ꯑꯃꯁꯨꯡ ꯑꯦꯟ.
"‘No, I wouldn’t, for the smart caps won’t match the plain gowns","‘ꯅꯠꯇꯦ, ꯑꯩꯅꯥ ꯇꯧꯔꯣꯏ, ꯃꯔꯃꯗꯤ ꯁ꯭ꯃꯥꯔꯠ ꯀꯦꯄꯁꯤꯡ ꯑꯁꯤ ꯄ꯭ꯂꯦꯟ ꯒꯥꯎꯅꯁꯤꯡꯒꯥ ꯃꯥꯟꯅꯔꯣꯏ꯫"
"without any trimming on them. Poor folks shouldn’t rig,’ said Jo",ꯃꯈꯣꯌꯗꯥ ꯇ꯭ꯔꯤꯝ ꯑꯃꯠꯇꯥ ꯌꯥꯑꯣꯗꯅꯥ꯫
decidedly,ꯂꯦꯞꯄꯥ ꯂꯩꯇꯅꯥ .
‘I wonder if I shall ever be happy enough to have real lace on,‘ꯑꯩꯍꯥꯛꯅꯥ ꯈꯅꯖꯩ ꯃꯗꯨꯗꯤ ꯑꯩꯍꯥꯛ ꯀꯔꯤꯒꯨꯝꯕꯥ ꯃꯇꯃꯗꯥ ꯑꯁꯦꯡꯕꯥ ꯂꯦꯁ ꯑꯃꯥ ꯂꯩꯕꯥ ꯃꯇꯃꯗꯥ ꯅꯨꯡꯉꯥꯏꯕꯥ ꯐꯥꯑꯣꯒꯅꯤ ꯍꯥꯌꯅꯥ .
my clothes and bows on my caps?’ said Meg impatiently,ꯑꯩꯒꯤ ꯄꯣꯠꯁꯛ ꯑꯃꯁꯨꯡ ꯑꯩꯒꯤ ꯀꯦꯄꯁꯤꯡꯗꯥ ꯀꯨꯄꯁꯤꯜꯂꯨ?’ ꯍꯥꯌꯅꯥ ꯃꯦꯒꯅꯥ ꯑꯁꯥꯑꯣꯕꯥ ꯌꯥꯑꯣꯗꯅꯥ ꯍꯥꯌꯔꯀꯏ
‘You said the other day that you’d be perfectly happy if you,‘ꯅꯉꯅꯥ ꯍꯥꯌꯕꯤꯔꯝꯂꯒꯅꯤ ꯃꯗꯨꯗꯤ ꯅꯉꯅꯥ ꯃꯄꯨꯡ ꯐꯥꯅꯥ ꯅꯨꯡꯉꯥꯏꯕꯥ ꯐꯥꯑꯣꯒꯅꯤ ꯍꯥꯌꯅꯥ꯫
"could only go to Annie Moffat’s,’ observed Beth in her quiet way","could only go to annie moffat’s,’ ꯕꯦꯊꯅꯥ ꯃꯍꯥꯛꯀꯤ ꯊꯣꯏꯗꯣꯀꯄꯥ ꯃꯑꯣꯡꯗꯥ ꯑꯣꯕꯖꯥꯔꯚ ꯇꯧꯈꯤ"
"‘So I did! Well, I am happy, and I won’t fret, but it does seem as",‘ꯃꯔꯝ ꯑꯗꯨꯅꯥ ꯑꯩꯅꯥ ꯇꯧꯈꯤ!
"if the more one gets the more one wants, doesn’t it? There now,","ꯀꯔꯤꯒꯨꯝꯕꯥ ꯀꯅꯥꯒꯨꯝꯕꯥ ꯑꯃꯅꯥ ꯍꯦꯟꯅꯥ ꯄꯥꯝꯂꯕꯗꯤ, ꯅꯠꯇꯦ?"
"the trays are ready, and everything in but my ball dress, which I","ꯇ꯭ꯔꯦꯁꯤꯡ ꯑꯁꯤ ꯁꯦꯝ ꯁꯥꯔꯦ, ꯑꯃꯁꯨꯡ ꯄꯨꯝꯅꯃꯛ ꯏꯟ ꯑꯗꯨꯕꯨ ꯑꯩꯒꯤ ꯕꯣꯜ ꯗ꯭ꯔꯦꯁ, ꯃꯗꯨ ꯑꯩꯅꯥ ."
"shall leave for Mother to pack,’ said Meg, cheering up, as she","ꯃꯃꯥꯅꯥ ꯄꯦꯛ ꯇꯧꯅꯕꯥ ꯊꯥꯗꯣꯛꯀꯅꯤ,’ ꯍꯥꯌꯅꯥ ꯃꯦꯒꯅꯥ ꯅꯨꯡꯉꯥꯏꯅꯥ ꯍꯥꯌꯔꯀꯏ, ꯃꯍꯥꯛꯅꯥ ."
glanced from the half- filled trunk to the many times pressed,ꯍꯥꯐ-ꯐꯤꯜꯗ ꯇ꯭ꯔꯉ꯭ꯀꯇꯒꯤ ꯍꯧꯔꯒꯥ ꯀꯌꯥ ꯌꯥꯝꯅꯥ ꯊꯨꯅꯥ ꯌꯥꯡꯅꯥ ꯆꯦꯜꯂꯀꯈꯤꯕꯒꯦ ꯍꯥꯌꯕꯗꯨ ꯌꯦꯡꯈꯤ꯫
"and mended white tarlatan, which she called her ‘ball dress’ with","ꯑꯃꯁꯨꯡ ꯃꯦꯟꯗ ꯇꯧꯔꯕꯥ ꯋꯥꯏꯇꯦꯞ ꯇꯔꯂꯇꯟ, ꯃꯗꯨ ꯃꯍꯥꯛꯅꯥ ꯃꯍꯥꯛꯀꯤ ‘ꯕꯣꯜ ꯗ꯭ꯔꯦꯁ’ ꯍꯥꯌꯅꯥ ꯀꯧꯈꯤ"
an important air,ꯃꯔꯨꯑꯣꯏꯕꯥ ꯑꯦꯌꯔ ꯑꯃꯥ .
"The next day was fine, and Meg departed in style for a fortnight","ꯃꯊꯪꯒꯤ ꯅꯨꯃꯤꯠ ꯑꯗꯨ ꯐꯩ, ꯑꯃꯁꯨꯡ ꯃꯦꯒꯅꯥ ꯅꯨꯃꯤꯠ ꯇꯔꯦꯠꯅꯤꯒꯤ ꯑꯣꯏꯅꯥ ꯁ꯭ꯇꯥꯏꯂꯗꯥ ꯆꯠꯈꯤ"
of novelty and pleasure. Mrs. March had consented to the visit,ꯑꯅꯧꯕꯥ ꯑꯃꯁꯨꯡ ꯅꯨꯡꯉꯥꯏꯕꯒꯤ ꯃꯇꯥꯡꯗꯥ ꯋꯥꯐꯝ ꯀꯌꯥ ꯊꯃꯈꯤ꯫
"rather reluctantly, fearing that Margaret would come back more","ꯃꯗꯨꯒꯤ ꯃꯍꯨꯠꯇꯥ ꯌꯥꯝꯅꯥ ꯋꯥꯅꯥ, ꯃꯥꯔꯒꯥꯔꯦꯠ ꯍꯦꯟꯅꯥ ꯍꯜꯂꯛꯀꯅꯤ ꯍꯥꯌꯅꯥ ꯀꯤꯗꯨꯅꯥ ."
"discontented than she went. But she begged so hard, and Sallie",ꯃꯍꯥꯛꯅꯥ ꯆꯠꯈꯤꯕꯗꯒꯤ ꯍꯦꯟꯅꯥ ꯗꯤꯁꯀꯇꯦꯟꯇ ꯑꯣꯏꯈꯤ꯫
had promised to,ꯋꯥꯁꯀꯈꯤꯕꯥ ꯑꯗꯨꯗꯥ ꯋꯥꯁꯀꯈꯤ꯫
"take good care of her, and a little pleasure seemed so delightful","ꯃꯍꯥꯀꯄꯨ ꯑꯐꯕꯥ ꯃꯑꯣꯡꯗꯥ ꯌꯦꯡꯁꯤꯅꯕꯤꯌꯨ, ꯑꯃꯁꯨꯡ ꯈꯔꯥ ꯅꯨꯡꯉꯥꯏꯕꯥ ꯑꯃꯥ ꯑꯣꯏꯅꯥ ꯑꯁꯨꯛ ꯅꯨꯡꯉꯥꯏꯕꯥ ꯐꯥꯑꯣꯈꯤ"
"after a winter of irksome work that the mother yielded, and the","ꯏꯃꯥꯅꯥ ꯄꯤꯕꯥ ꯏꯅꯥꯛ ꯈꯨꯅꯕꯥ ꯊꯕꯛ ꯑꯃꯥ ꯂꯣꯏꯔꯕꯥ ꯃꯇꯨꯡꯗꯥ, ꯑꯃꯁꯨꯡ [...]"
daughter went to take her first taste of fashionable life,ꯃꯆꯥꯅꯨꯄꯤꯅꯥ ꯐꯦꯁꯅꯒꯤ ꯄꯨꯟꯁꯤꯒꯤ ꯑꯍꯥꯅꯕꯥ ꯃꯁꯛ ꯂꯧꯅꯕꯥ ꯆꯠꯈꯤ .
147,꯱꯴꯷ ꯑꯃꯁꯨꯡ ꯑꯦꯟ.
"The Moffats were very fashionable, and simple Meg was rather","ꯃꯣꯐꯐꯠꯁꯤꯡ ꯑꯁꯤ ꯌꯥꯝꯅꯥ ꯐꯦꯁꯟ ꯑꯣꯏꯈꯤ, ꯑꯃꯁꯨꯡ ꯁꯤꯝꯄꯜ ꯃꯦꯒ ꯑꯁꯤ ꯃꯗꯨꯒꯤ ꯃꯍꯨꯠꯇꯥ ."
"daunted, at first, by the splendor of the house and the elegance","ꯗꯥꯎꯟꯇꯦꯗ, ꯑꯍꯥꯅꯕꯗꯥ, ꯌꯨꯃꯒꯤ ꯃꯁꯛ ꯑꯃꯁꯨꯡ ꯏꯂꯤꯖꯦꯟꯁꯀꯤ ꯃꯅꯥꯛꯇꯥ ꯂꯩꯕꯥ"
"of its occupants. But they were kindly people, in spite of the",ꯃꯁꯤꯒꯤ ꯑꯣꯀꯄꯁꯤꯡꯒꯤ ꯃꯇꯥꯡꯗꯥ ꯋꯥꯐꯝ ꯀꯌꯥ ꯊꯃꯈꯤ꯫
"frivolous life they led, and soon put their guest at her ease","ꯐ꯭ꯔꯤꯚꯣꯂꯁ ꯂꯥꯏꯐ ꯃꯈꯣꯌꯅꯥ ꯂꯨꯆꯤꯡꯈꯤꯕꯥ, ꯑꯃꯁꯨꯡ ꯑꯊꯨꯕꯥ ꯃꯇꯃꯗꯥ ꯃꯈꯣꯌꯒꯤ ꯃꯤꯊꯨꯡꯂꯦꯟ ꯑꯗꯨ ꯃꯍꯥꯛꯀꯤ ꯏꯖꯗꯥ ꯊꯃꯈꯤ"
"Perhaps Meg felt, without understanding why, that they were","ꯌꯥꯑꯣꯔꯃꯒꯗ꯭ꯔꯥ ꯃꯦꯒꯅꯥ ꯀꯔꯤꯒꯤꯅꯣ ꯍꯥꯌꯕꯗꯨ ꯈꯉꯗꯅꯥ, ꯃꯈꯣꯌꯅꯥ ꯍꯥꯌꯈꯤꯕꯥ ꯑꯗꯨ ."
"not particularly cultivated or intelligent people, and that all their","ꯃꯔꯨꯑꯣꯏꯅꯥ ꯂꯧꯎ-ꯁꯤꯡꯎ ꯇꯧꯕꯥ ꯅꯠꯔꯒꯥ ꯂꯧꯁꯤꯡ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏꯁꯤꯡ ꯅꯠꯇꯦ, ꯑꯃꯁꯨꯡ ꯃꯈꯣꯌꯒꯤ ꯄꯨꯝꯅꯃꯛ ꯑꯁꯤ ꯃꯈꯣꯌꯒꯤ [...]"
gilding could not quite conceal the ordinary material of which,ꯒꯤꯜꯗꯤꯡ ꯑꯁꯤ ꯌꯥꯝꯅꯥ ꯂꯣꯠꯄꯥ ꯉꯃꯈꯤꯗꯦ ꯃꯗꯨꯒꯤ ꯑꯆꯝꯕꯥ ꯃꯆꯥꯛ ꯑꯗꯨ .
they were made. It certainly was agreeable to fare,ꯃꯈꯣꯌꯁꯤꯡ ꯑꯗꯨ ꯁꯦꯃꯈꯤ꯫
"sumptuously, drive in a fine carriage, wear her best frock every","ꯁꯝꯞꯇꯨꯁ ꯑꯣꯏꯅꯥ, ꯐꯖꯔꯕꯥ ꯀꯥꯔ ꯑꯃꯗꯥ ꯊꯧꯕꯥ, ꯃꯍꯥꯛꯀꯤ ꯈ꯭ꯕꯥꯏꯗꯒꯤ ꯐꯕꯥ ꯐ꯭ꯔꯣꯛ ꯈꯨꯗꯤꯡꯃꯛ ꯁꯣꯏꯗꯅꯥ ꯁꯣꯏꯕꯤꯌꯨ꯫"
"day, and do nothing but enjoy herself. It suited her exactly, and","ꯅꯨꯃꯤꯠ, ꯑꯃꯁꯨꯡ ꯃꯁꯥꯃꯀꯄꯨ ꯅꯨꯡꯉꯥꯏꯅꯥ ꯂꯩꯖꯕꯥ ꯅꯠꯇꯅꯥ ꯀꯔꯤꯁꯨ ꯇꯧꯔꯣꯏꯗꯕꯅꯤ꯫"
soon she began to imitate the manners and conversation of,ꯊꯨꯅꯥ ꯃꯍꯥꯛꯅꯥ ꯂꯃꯆꯠ-ꯁꯥꯖꯠ ꯑꯃꯁꯨꯡ ꯋꯥꯔꯤ ꯁꯥꯅꯕꯥ ꯑꯗꯨ ꯏꯃꯤꯇꯦꯠ ꯇꯧꯕꯥ ꯍꯧꯔꯀꯈꯤ꯫
"those about her, to put on little airs and graces, use French","ꯃꯍꯥꯛꯀꯤ ꯃꯔꯃꯗꯥ, ꯂꯤꯇꯜ ꯑꯦꯌꯔ ꯑꯃꯁꯨꯡ ꯒ꯭ꯔꯦꯁ ꯊꯝꯅꯕꯥ, ꯐ꯭ꯔꯦꯟꯆ ."
"phrases, crimp her hair, take in her dresses, and talk about the","ꯋꯥꯍꯩ ꯄꯔꯦꯡꯁꯤꯡ, ꯃꯍꯥꯛꯀꯤ ꯈꯣꯡꯎꯞ ꯑꯗꯨ ꯁꯦꯡꯗꯣꯀꯎ, ꯃꯍꯥꯛꯀꯤ ꯄꯣꯠꯁꯀꯁꯤꯡ ꯑꯗꯨ ꯂꯧꯈꯠꯂꯨ ꯑꯃꯁꯨꯡ ꯋꯥꯔꯤ ꯁꯥꯟꯅꯧ꯫"
fashions as well as she could. The more she saw of Annie,ꯐꯦꯁꯅꯁꯤꯡꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯃꯍꯥꯛꯅꯥ ꯇꯧꯕꯥ ꯉꯃꯈꯤꯕꯥ ꯑꯗꯨꯒꯨꯝꯅꯥ꯫
"Moffat’s pretty things, the more she envied her and sighed to be","ꯃꯣꯐꯐꯠꯀꯤ ꯐꯖꯔꯕꯥ ꯋꯥꯐꯃꯁꯤꯡ, ꯃꯍꯥꯛꯅꯥ ꯃꯍꯥꯀꯄꯨ ꯍꯦꯟꯅꯥ ꯏꯀꯥꯏꯕꯥ ꯄꯤꯈꯤ ꯑꯃꯁꯨꯡ ꯋꯥꯈꯜ ꯋꯥꯕꯥ ꯊꯣꯀꯈꯤ꯫"
"rich. Home now looked bare and dismal as she thought of it,",ꯏꯅꯥꯛ ꯈꯨꯟꯕ.
"work grew harder than ever, and she felt that she was a very","ꯊꯕꯛ ꯑꯁꯤ ꯍꯥꯟꯅꯗꯒꯤ ꯍꯦꯟꯅꯥ ꯀꯟꯅꯥ ꯍꯦꯅꯒꯠꯂꯀꯈꯤ, ꯑꯃꯁꯨꯡ ꯃꯍꯥꯛꯅꯥ ꯌꯥꯝꯅꯥ ꯋꯥꯅꯥ ꯊꯣꯀꯈꯤ꯫"
destitute,ꯁꯣꯠꯊꯔꯕꯥ .
"and much-injured girl, in spite of the new gloves and silk","ꯑꯃꯁꯨꯡ ꯌꯥꯝꯅꯥ ꯑꯁꯣꯀꯄꯥ ꯅꯨꯄꯤꯃꯆꯥ, ꯑꯅꯧꯕꯥ ꯒ꯭ꯂꯣꯕꯁꯤꯡ ꯑꯃꯁꯨꯡ ꯁꯤꯜꯀ ꯑꯣꯏꯔꯕꯁꯨ"
stockings,ꯁ꯭ꯇꯣꯀꯤꯡ ꯇꯧꯕꯥ ꯌꯥꯏ꯫
"She had not much time for repining, however, for the three","ꯑꯗꯨꯕꯨ ꯃꯍꯥꯛꯅꯥ ꯔꯤꯄꯤꯅꯤꯡꯒꯤ ꯃꯇꯝ ꯌꯥꯝꯅꯥ ꯐꯪꯈꯤꯗꯦ, ꯑꯗꯨꯕꯨ ꯑꯍꯨꯃꯒꯤꯗꯃꯛ ."
young girls were busily employed in ‘having a good time’. They,ꯅꯍꯥ ꯑꯣꯏꯔꯤꯕꯥ ꯅꯨꯄꯤꯃꯆꯥꯁꯤꯡꯅꯥ ‘ꯑꯐꯕꯥ ꯃꯇꯝ ꯑꯃꯥ ꯍꯤꯡꯕꯥ’ ꯍꯥꯌꯕꯁꯤꯗꯥ ꯌꯥꯝꯅꯥ ꯊꯋꯥꯏ ꯌꯥꯑꯣꯅꯥ ꯊꯕꯛ ꯇꯧꯔꯝꯃꯤ꯫
"shopped, walked, rode, and called all day, went to theaters and","ꯗꯨꯀꯥꯟ ꯇꯧꯈꯤ, ꯆꯠꯈꯤ, ꯊꯧꯈꯤ ꯑꯃꯁꯨꯡ ꯅꯨꯃꯤꯠ ꯈꯨꯗꯤꯡꯒꯤ ꯀꯧꯈꯤ, ꯊꯤꯌꯦꯇꯔꯁꯤꯡꯗꯥ ꯆꯠꯈꯤ ꯑꯃꯁꯨꯡ"
148,꯱꯴꯸ ꯑꯃꯁꯨꯡ ꯑꯦꯟ.
"operas or frolicked at home in the evening, for Annie had many","ꯑꯣꯄꯦꯔꯥ ꯅꯠꯔꯒꯥ ꯅꯨꯃꯤꯗꯥꯡꯋꯥꯏꯔꯃꯗꯥ ꯌꯨꯃꯗꯥ ꯐ꯭ꯔꯣꯂꯤꯛ ꯇꯧꯕꯥ, ꯃꯔꯃꯗꯤ ꯑꯦꯟꯅꯤ ꯀꯌꯥ ꯑꯃꯥ ꯂꯩꯈꯤ꯫"
friends and knew how to entertain them. Her older sisters were,ꯃꯔꯨꯄꯁꯤꯡ ꯑꯃꯁꯨꯡ ꯃꯈꯣꯌꯕꯨ ꯃꯇꯧ ꯀꯔꯝꯅꯥ ꯅꯨꯡꯉꯥꯏꯍꯅꯒꯅꯤ ꯍꯥꯌꯕꯗꯨ ꯈꯉꯈꯤ꯫
"very fine young ladies, and one was engaged, which was","ꯌꯥꯝꯅꯥ ꯐꯖꯕꯥ ꯅꯍꯥ ꯑꯣꯏꯔꯤꯕꯥ ꯅꯨꯄꯤꯁꯤꯡ, ꯑꯃꯁꯨꯡ ꯑꯃꯅꯥ ꯑꯦꯉ꯭ꯒꯦꯖ ꯇꯧꯈꯤ, ꯃꯗꯨ ꯑꯣꯏꯈꯤ꯫"
"extremely interesting and romantic, Meg thought. Mr. Moffat","ꯌꯥꯝꯅꯥ ꯏꯟꯇꯔꯦꯁ꯭ꯇꯤꯡ ꯑꯣꯏꯕꯥ ꯑꯃꯁꯨꯡ ꯔꯣꯃꯥꯟꯇꯤꯛ ꯑꯣꯏꯕꯥ, ꯃꯦꯒꯅꯥ ꯈꯅꯈꯤ꯫"
"was a fat, jolly old gentleman, who knew her father, and Mrs","ꯐꯦꯠ, ꯖꯣꯂꯤ ꯑꯣꯜꯗ ꯖꯦꯟꯇꯂꯃꯦꯟ ꯑꯃꯥ ꯑꯣꯏꯔꯝꯃꯤ, ꯃꯍꯥꯛꯀꯤ ꯃꯄꯥꯕꯨꯡꯕꯨ ꯈꯉꯕꯤꯔꯝꯃꯤ ꯑꯃꯁꯨꯡ ꯁ꯭ꯔꯤꯃꯇꯤ"
"Moffat, a fat, jolly old lady, who took as great a fancy to Meg as","ꯃꯣꯐꯐꯠ, ꯐꯦꯠ, ꯖꯣꯂꯤ ꯑꯣꯜꯗ ꯂꯦꯗꯤ, ꯃꯍꯥꯛꯅꯥ ꯃꯦꯒꯇꯥ ꯑꯆꯧꯕꯥ ꯐꯦꯟꯁꯤ ꯑꯃꯥ ꯂꯧꯈꯤꯕꯥ"
"her daughter had done. Everyone petted her, and ‘Daisey’, as",ꯃꯍꯥꯛꯀꯤ ꯃꯆꯥꯅꯨꯄꯤꯅꯥ ꯇꯧꯈꯤ꯫
"they called her, was in a fair way to have her head turned","ꯃꯈꯣꯌꯅꯥ ꯃꯍꯥꯀꯄꯨ ꯀꯧꯈꯤ, ꯃꯍꯥꯛꯀꯤ ꯃꯀꯣꯛ ꯊꯣꯡꯅꯕꯥ ꯑꯆꯨꯝꯕꯥ ꯃꯑꯣꯡꯗꯥ ꯂꯩꯔꯝꯃꯤ ."
"When the evening for the small party came, she found that the",ꯑꯄꯤꯀꯄꯥ ꯄꯥꯔꯇꯤꯒꯤ ꯅꯨꯃꯤꯗꯥꯡꯋꯥꯏꯔꯝ ꯂꯥꯀꯄꯥ ꯃꯇꯃꯗꯥ ꯃꯍꯥꯛꯅꯥ ꯐꯪꯈꯤ ꯃꯗꯨꯗꯤ .
"poplin wouldn’t do at all, for the other girls were putting on thin","ꯄꯣꯄꯂꯤꯅꯅꯥ ꯃꯄꯨꯡ ꯐꯥꯅꯥ ꯇꯧꯔꯣꯏ, ꯃꯔꯃꯗꯤ ꯑꯇꯣꯞꯄꯥ ꯅꯨꯄꯤꯃꯆꯥꯁꯤꯡꯅꯥ ꯊꯤꯟ ꯊꯛꯇꯨꯅꯥ ꯊꯝꯂꯝꯃꯤ"
dresses and making themselves very fine indeed. So out came,ꯄꯣꯠꯆꯩꯁꯤꯡ ꯑꯃꯁꯨꯡ ꯃꯈꯣꯌ ꯃꯁꯥꯕꯨ ꯇꯁꯦꯡꯅꯥ ꯌꯥꯝꯅꯥ ꯐꯖꯅꯥ ꯁꯦꯃꯖꯕꯥ꯫
"the tarlatan, looking older, limper, and shabbier than ever","ꯇꯔꯂꯥꯇꯟ, ꯑꯍꯜ ꯑꯣꯏꯔꯕꯥ ꯑꯣꯏꯅꯥ ꯎꯕꯥ, ꯂꯤꯝꯄꯥꯔ, ꯑꯃꯁꯨꯡ ꯍꯥꯟꯅꯗꯒꯤ ꯍꯦꯟꯅꯥ ꯁꯦꯡꯂꯕꯥ"
beside Sallie’s crisp new one. Meg saw the girls glance at it and,ꯁꯥꯂꯤꯒꯤ ꯀ꯭ꯔꯤꯁ꯭ꯞ ꯑꯅꯧꯕꯥ ꯑꯃꯒꯤ ꯃꯅꯥꯛꯇꯥ꯫
"then at one another, and her cheeks began to burn, for with all","ꯑꯗꯨꯗꯒꯤ ꯑꯃꯒꯥ ꯑꯃꯒꯥ ꯂꯣꯌꯅꯅꯥ, ꯃꯍꯥꯛꯀꯤ ꯊꯝꯃꯣꯌꯅꯥ ꯃꯩ ꯊꯥꯗꯣꯀꯄꯥ ꯍꯧꯔꯀꯈꯤ, ꯃꯔꯃꯗꯤ ꯄꯨꯝꯅꯃꯛꯀꯥ ꯂꯣꯌꯅꯅꯥ꯫"
"her gentleness she was very proud. No one said a word about it,",ꯃꯍꯥꯛꯀꯤ ꯃꯤꯅꯨꯡꯁꯤ ꯑꯗꯨ ꯃꯍꯥꯛ ꯌꯥꯝꯅꯥ ꯆꯥꯎꯊꯣꯀꯆꯈꯤ꯫
"but Sallie offered to dress her hair, and Annie to tie her sash,","ꯑꯗꯨꯕꯨ ꯁꯥꯂꯤꯅꯥ ꯃꯍꯥꯛꯀꯤ ꯈꯣꯉꯎꯞ ꯑꯗꯨ ꯁꯦꯠꯅꯕꯥ ꯍꯥꯌꯔꯀꯈꯤ, ꯑꯃꯁꯨꯡ ꯑꯦꯟꯅꯤꯅꯥ ꯃꯍꯥꯛꯀꯤ ꯁꯦꯁ ꯑꯗꯨ ꯊꯥꯅꯕꯥ ꯍꯥꯌꯔꯀꯈꯤ,"
"and Belle, the","ꯑꯃꯁꯨꯡ ꯕꯦꯜꯂꯤ, ."
"engaged sister, praised her white arms. But in their kindness","ꯑꯦꯉ꯭ꯒꯦꯖ ꯇꯧꯔꯕꯥ ꯃꯔꯨꯞ, ꯃꯍꯥꯛꯀꯤ ꯋꯥꯏꯇꯦꯄꯀꯤ ꯃꯈꯨꯠꯁꯤꯡ ꯑꯗꯨ ꯊꯥꯒꯠꯈꯤ꯫"
"Meg saw only pity for her poverty, and her heart felt very heavy","ꯃꯦꯒꯅꯥ ꯃꯍꯥꯛꯀꯤ ꯂꯥꯌꯔꯕꯒꯤꯗꯃꯛ ꯃꯤꯅꯨꯡꯁꯤ ꯈꯛꯇꯃꯛ ꯎꯈꯤ, ꯑꯃꯁꯨꯡ ꯃꯍꯥꯛꯀꯤ ꯊꯝꯃꯣꯌꯅꯥ ꯌꯥꯝꯅꯥ ꯂꯨꯕꯥ ꯐꯥꯑꯣꯈꯤ"
"as she stood by herself, while the others laughed, chattered, and","ꯃꯍꯥꯛꯅꯥ ꯃꯁꯥꯃꯀꯄꯨ ꯂꯦꯄꯆꯕꯥ ꯃꯇꯃꯗꯥ, ꯑꯇꯣꯞꯄꯁꯤꯡꯅꯥ ꯅꯣꯛꯅꯔꯀꯄꯥ ꯃꯇꯃꯗꯥ, ꯋꯥꯔꯤ ꯁꯥꯟꯅꯔꯀꯄꯥ ꯃꯇꯃꯗꯥ ꯑꯃꯁꯨꯡ ."
"flew about like gauzy butterflies. The hard, bitter feeling was",ꯒꯥꯎꯖꯤ ꯕꯇꯔꯐ꯭ꯂꯥꯏꯁꯤꯡꯒꯨꯝꯅꯥ ꯎꯔꯦ꯫
"getting pretty bad, when the maid brought in a box of flowers","ꯌꯥꯝꯅꯥ ꯐꯠꯇꯕꯥ ꯑꯣꯏꯔꯀꯄꯥ, ꯃꯦꯏꯗꯅꯥ ꯐꯨꯂꯒꯤ ꯕꯣꯛꯁ ꯑꯃꯥ ꯄꯨꯔꯀꯄꯥ ꯃꯇꯃꯗꯥ"
149,꯱꯴꯹ ꯑꯃꯁꯨꯡ ꯑꯦꯟ.
"Before she could speak, Annie had the cover off, and all were","ꯃꯍꯥꯛꯅꯥ ꯋꯥ ꯉꯥꯡꯗ꯭ꯔꯤꯉꯩ ꯃꯃꯥꯡꯗꯥ, ꯑꯦꯟꯅꯤꯅꯥ ꯀꯚꯔ ꯑꯣꯐ ꯇꯧꯈꯤ, ꯑꯃꯁꯨꯡ ꯄꯨꯝꯅꯃꯛ ꯑꯁꯤ ."
"exclaiming at the lovely roses, heath, and fern within","ꯃꯅꯨꯡꯗꯥ ꯅꯨꯡꯁꯤꯔꯕꯥ ꯒꯣꯂꯥꯄꯁꯤꯡ, ꯍꯤꯊ ꯑꯃꯁꯨꯡ ꯐꯔꯅꯗꯥ ꯂꯥꯑꯣꯊꯣꯀꯄꯥ"
"‘It’s for Belle, of course, George always sends her some, but","‘ꯃꯁꯤ ꯕꯦꯜꯂꯤꯒꯤꯗꯃꯛꯇꯅꯤ, ꯇꯁꯦꯡꯅꯥ, ꯖꯔꯖꯅꯥ ꯃꯇꯝ ꯄꯨꯝꯅꯃꯛꯇꯥ ꯃꯍꯥꯀꯄꯨ ꯈꯔꯥ ꯊꯥꯔꯀꯏ, ꯑꯗꯨꯕꯨ ."
"these are altogether ravishing,’ cried Annie, with a great sniff","ꯍꯥꯌꯔꯤꯕꯁꯤꯡ ꯑꯁꯤ ꯃꯄꯨꯡ ꯐꯥꯅꯥ ꯔꯦꯚꯤꯁꯤꯡꯅꯤ,’ ꯍꯥꯌꯅꯥ ꯑꯦꯟꯅꯤꯅꯥ ꯀꯟꯅꯥ ꯅꯣꯀꯈꯤ, ꯑꯆꯧꯕꯥ ꯁ꯭ꯅꯤꯐ ꯑꯃꯒꯥ ꯂꯣꯌꯅꯅꯥ꯫"
"‘They are for Miss March, the man said. And here’s a note,’ put",‘ꯃꯈꯣꯌ ꯃꯤꯁ ꯃꯥꯔꯆꯀꯤꯗꯃꯛꯇꯅꯤ ꯍꯥꯌꯅꯥ ꯃꯤꯑꯣꯏ ꯑꯗꯨꯅꯥ ꯍꯥꯌꯈꯤ꯫
"in the maid, holding it to Meg","ꯃꯦꯗꯇꯥ, ꯃꯁꯤꯕꯨ ꯃꯦꯒꯗꯥ ꯊꯝꯂꯒꯥ ."
"‘What fun! Who are they from? Didn’t know you had a lover,’",‘ꯀꯔꯤ ꯅꯨꯡꯉꯥꯏꯕꯥ!
"cried the girls, fluttering about Meg in a high state of curiosity","ꯅꯨꯄꯤꯃꯆꯥꯁꯤꯡꯅꯥ ꯀꯟꯅꯥ ꯋꯥꯔꯤ ꯁꯥꯈꯤ, ꯀ꯭ꯌꯨꯔꯤꯑꯣꯁꯤꯇꯤꯒꯤ ꯑꯋꯥꯡꯕꯥ ꯐꯤꯚꯃꯗꯥ ꯃꯦꯒꯀꯤ ꯃꯇꯥꯡꯗꯥ ꯐ꯭ꯂꯨꯇꯔ ꯇꯧꯈꯤ"
and surprise,ꯑꯃꯁꯨꯡ ꯑꯉꯀꯄꯥ .
